Fingerlakes,OPR 2015,OPR 2014,OPR 2013,OPR 2012,OPR 2011,OPR 2010,OPR 2009,OPR 2008
20,615,109,48,876,322,25,213,1661
73,2335,831,2357,1174,1289,2813,647,2444
174,1387,801,930,199,3035,319,1410,562
191,659,957,425,336,3727,468,1165,1378
250,692,992,395,564,3315,2887,279,1124
340,345,521,182,84,313,675,408,649
369,2042,380,191,277,3329,,2789,1572
378,655,323,327,1066,1706,3268,425,2335
395,1408,1149,1400,528,2882,2496,437,322
578,481,724,1453,575,3404,,191,2403
639,1410,585,463,225,3383,2455,581,1558
810,1265,1632,630,1153,3241,1195,,968
1126,96,250,638,1277,3547,1942,1980,492
1405,392,302,347,901,1736,,1701,2145
1450,1281,2224,477,689,3360,877,53,2429
1507,155,5,143,25,3751,2932,2976,1816
1511,557,188,1143,205,663,321,1634,1244
1518,2142,707,1544,1484,0,3141,1279,2010
1551,1821,423,648,762,3573,2917,2342,0
1559,397,678,407,675,,2676,743,1108
1585,1435,314,1605,,2847,2518,2001,0
1591,2264,2389,2346,1677,2144,2372,2421,1660
1665,757,2136,822,492,3570,2648,2719,2240
1765,2008,1968,1840,1543,0,,,
1880,2245,2112,2241,1655,2054,2085,,
2010,1138,567,1146,1852,3641,1997,,
2228,237,1352,420,85,3865,,,
2340,2682,811,1512,1279,,,,
2383,90,825,567,268,,,,
2638,604,227,264,700,,,,
2791,949,487,320,565,,,,
2809,2418,140,642,1384,,,,
3003,304,718,405,395,,,,
3015,580,365,122,217,,,,
3044,675,649,887,1446,,,,
3157,641,2463,2070,1101,,,,
3173,553,1532,51,1644,,,,
3181,1806,1863,632,1028,,,,
3799,1563,1328,2453,1942,,,,
3838,518,2226,763,614,,,,
3951,1063,1206,1656,728,,,,
4023,,2195,2174,2297,,,,
4093,1639,2037,1893,1676,,,,
4930,1505,569,,,,,,
5030,340,463,,,,,,
5254,40,218,,,,,,
5349,2114,530,,,,,,
5433,2563,,,,,,,
5590,771,,,,,,,
5947,,,,,,,,
